Date,Electricity_Fire,Electricity_Nonfire
01-1973,127558.735,32659.253
02-1973,114137.423,29401.277
03-1973,115464.105,32694.264
04-1973,109160.739,30428.701
05-1973,116425.14,30969.983
06-1973,130218.907,31024.767
07-1973,143887.828,29845.18
08-1973,148001.402,29363.962
09-1973,131531.668,25343.365
10-1973,128017.518,26179.948
11-1973,119548.936,28588.671
12-1973,118900.185,34704.671
01-1974,120558.749,36995.943
02-1974,107623.607,35124.85
03-1974,113511.627,36830.579
04-1974,106836.555,35475.079
05-1974,118796.813,35016.061
06-1974,122263.299,34176.789
07-1974,141301.603,36945.702
08-1974,137311.535,36807.467
09-1974,119663.216,32804.227
10-1974,120918.688,31277.143
11-1974,117490.169,32580.686
12-1974,123152.686,36856.334
01-1975,125157.56,39465.52
02-1975,110258.607,37090.394
03-1975,112397.867,43362.345
04-1975,106034.498,40460.381
05-1975,111498.837,42032.242
06-1975,122239.004,40477.956
07-1975,135609.1,41447.405
08-1975,140881.033,39049.859
09-1975,120005.309,35435.517
10-1975,117337.903,37849.84
11-1975,113868.602,39166.496
12-1975,126371.211,43257.085
01-1976,135816.6,42792.012
02-1976,117462.627,39503.173
03-1976,123272.661,41194.014
04-1976,117737.015,35730.378
05-1976,119624.993,38039.474
06-1976,131757.832,41915.888
07-1976,142322.95,44368.089
08-1976,143862.572,42776.123
09-1976,127049.555,38187.882
10-1976,125030.926,38978.52
11-1976,132854.22,36492.07
12-1976,142211.089,41933.018
01-1977,153160.444,43504.738
02-1977,127661.941,35287.145
03-1977,128328.006,41109.166
04-1977,118025.319,39092.037
05-1977,129714.264,39882.14
06-1977,141708.318,39322.894
07-1977,159978.547,39189.179
08-1977,156347.127,40016.038
09-1977,139867.89,36629.669
10-1977,129812.009,36833.272
11-1977,126896.193,40491.879
12-1977,137402.217,47187.053
01-1978,146579.917,51527.718
02-1978,129152.393,44593.338
03-1978,125850.604,47610.282
04-1978,116644.856,43368.126
05-1978,125876.328,49672.301
06-1978,140780.924,47804.461
07-1978,152971.454,49975.839
08-1978,158314.848,48343.902
09-1978,141887.447,43914.611
10-1978,133069.096,42944.021
11-1978,131037.601,45351.491
12-1978,144027.893,48077.459
01-1979,156552.829,53433.919
02-1979,138865.953,47721.357
03-1979,132211.171,50942.832
04-1979,125812.751,44447.721
05-1979,133755.113,44654.243
06-1979,145291.482,41684.898
07-1979,158304.899,44217.578
08-1979,158981.738,46118.854
09-1979,139615.275,41359.371
10-1979,138225.455,41727.909
11-1979,135497.341,42272.167
12-1979,144933.4,44036.769
01-1980,154592.477,45703.851
02-1980,147686.716,41274.663
03-1980,142692.299,45052.503
04-1980,123768.055,45248.53
05-1980,128016.345,48050.141
06-1980,143006.242,46742.244
07-1980,170808.77,46249.082
08-1980,170111.845,45517.538
09-1980,148952.235,42745.504
10-1980,135646.128,43114.906
11-1980,137828.37,40942.991
12-1980,150686.975,45161.952
01-1981,159808.897,46949.308
02-1981,136436.394,43423.517
03-1981,142435.793,43398.089
04-1981,130675.885,42165.457
05-1981,133518.898,44619.656
06-1981,154693.739,48327.011
07-1981,171637.621,49017.126
08-1981,161321.62,49317.796
09-1981,144080.079,42971.41
10-1981,142175.942,39381.648
11-1981,133358.59,42433.165
12-1981,145257.723,50567.977
01-1982,156418.115,53276.259
02-1982,133041.921,47503.652
03-1982,134717.221,53250.744
04-1982,122539.102,50337.4
05-1982,127156.598,50323.383
06-1982,133691.814,52755.306
07-1982,157337.831,53527.248
08-1982,156295.23,49596.446
09-1982,134907.959,45967.309
10-1982,129458.939,43713.308
11-1982,126325.842,47272.917
12-1982,132170.871,52787.071
01-1983,140765.357,55105.487
02-1983,121936.44,50788.75
03-1983,127840.956,54927.766
04-1983,117624.351,53044.525
05-1983,120791.505,53933.307
06-1983,135741.825,55625.382
07-1983,165885.164,54561.673
08-1983,177190.821,53002.638
09-1983,148206.828,47610.185
10-1983,135675.214,47461.497
11-1983,132624.107,50546.574
12-1983,153738.76,58816.573
01-1984,157034.53,59889.199
02-1984,132585.663,57224.378
03-1984,141608.72,58778.755
04-1984,126188.064,55193.075
05-1984,133864.251,58685.946
06-1984,154922.287,55045.026
07-1984,164817.563,56708.6
08-1984,173871.546,55660.118
09-1984,144413.753,50997.636
10-1984,144457.746,46684.685
11-1984,142719.473,47882.393
12-1984,142398.665,57833.293
01-1985,163220.424,64927.464
02-1985,140724.387,57764.11
03-1985,138359.039,56891.349
04-1985,133232.615,51940.696
05-1985,140855.63,56267.214
06-1985,149899.249,55782.721
07-1985,169360.428,57643.334
08-1985,170323.175,55963.271
09-1985,148337.592,54374.83
10-1985,142687.341,52307.876
11-1985,138276.084,54372.868
12-1985,159000.395,60490.027
01-1986,158750.672,59010.465
02-1986,135436.58,57145.437
03-1986,136611.923,60502.632
04-1986,127182.962,59187.492
05-1986,137282.957,60364.541
06-1986,156484.618,58849.539
07-1986,181661.855,61291.698
08-1986,165435.702,59966.779
09-1986,148090.578,58814.522
10-1986,139332.857,58626.919
11-1986,137553.192,59100.494
12-1986,147100.857,66685.684
01-1987,156345.408,66695.568
02-1987,135269.516,59011.109
03-1987,140277.011,61852.933
04-1987,132987.505,56804.912
05-1987,146539.797,59867.081
06-1987,167095.565,58812.35
07-1987,186561.804,61634.414
08-1987,186744.901,61135.858
09-1987,154151.076,59070.174
10-1987,147547.474,55667.451
11-1987,144980.343,55499.043
12-1987,156394.262,64342.108
01-1988,170172.946,68015.489
02-1988,154687.543,62495.54
03-1988,149546.19,64747.425
04-1988,135870.923,60426.188
05-1988,145560.157,63143.447
06-1988,168830.714,64235.139
07-1988,189644.796,68097.329
08-1988,201146.294,66782.3
09-1988,156637.045,63755.197
10-1988,151891.096,58922.789
11-1988,150558.796,59256.195
12-1988,167806.54,65181.098
01-1989,174278.157,72162.743
02-1989,171530.621,61958.358
03-1989,174223.652,67397.484
04-1989,160250.346,62303.458
05-1989,163539.298,70960.197
06-1989,176949.468,73654.859
07-1989,193131.296,80001.163
08-1989,194724.94,80369.303
09-1989,173554.749,68924.266
10-1989,166374.971,68968.771
11-1989,163944.844,69990.183
12-1989,196126.6,77996.502
01-1990,169903.927,84976.008
02-1990,148869.68,80352.158
03-1990,163538.507,80915.893
04-1990,159224.225,70248.324
05-1990,165650.173,75816.272
06-1990,189365.013,79330.067
07-1990,203999.939,83140.738
